clean,created_at,extended_tweet.full_text,id,text
I love responding and taking these takes in light heart. I enjoy the quote tweets more though. 😌,Sun Mar 21 18:33:50 +0000 2021,,1.37E+18,@woodsidewasp I love responding and taking these takes in light heart. I enjoy the quote tweets more though. 😌
About to buy these forces 😌,Sun Mar 21 18:33:50 +0000 2021,,1.37E+18,About to buy these forces 😌
we could have so much fun 😌,Sun Mar 21 18:33:50 +0000 2021,,1.37E+18,@caroandlace we could have so much fun 😌
Yes including you 😌,Sun Mar 21 18:33:51 +0000 2021,,1.37E+18,@filtrdeuphoria Yes including you 😌
I am doing a 'White' challenge today. I am trying to beat my team members by selling more White/ivory products than them. You could have 'The Dream Girl Crotchless Body' today for 💷17!!! DM me now if interested 😌 ,Sun Mar 21 18:33:51 +0000 2021,"I'm doing a 'White' challenge today. I'm trying to beat my team members by selling more White/ivory products than them.
You could have 'The Dream Girl Crotchless Body' today for 💷17!!!
DM me now if interested 😌 https://t.co/CtWXEqSTVe",1.37E+18,I'm doing a 'White' challenge today. I'm trying to beat my team members by selling more White/ivory products than t… https://t.co/zOmlw51ptZ
Cool one #MaltaCreativeChallenge,Sun Mar 21 18:33:51 +0000 2021,,1.37E+18,Cool one #MaltaCreativeChallenge
Hayi Scorpios are nice people 😌,Sun Mar 21 18:33:52 +0000 2021,,1.37E+18,@nellypulumo @mihlalii_n Hayi Scorpios are nice people 😌
Life is pretty good at the moment 😌,Sun Mar 21 18:33:53 +0000 2021,,1.37E+18,Life is pretty good at the moment 😌
Car speech so true 😌 #SaileenWedding,Sun Mar 21 18:33:54 +0000 2021,,1.37E+18,"Car speech so true 😌
#SaileenWedding"
exactly 😌,Sun Mar 21 18:33:54 +0000 2021,,1.37E+18,@ignaloser exactly 😌
but I will choose js any time if it is her against other bt* members 😌,Sun Mar 21 18:33:55 +0000 2021,,1.37E+18,but I’ll choose js any time if it’s her against other bt* members 😌
lies 😌,Sun Mar 21 18:33:56 +0000 2021,,1.37E+18,@SunnyBangtanSun @iramot7 @rorysohara lies 😌
*Whispers* White people do not like seeing racism on their timeline you all 😌,Sun Mar 21 18:33:56 +0000 2021,,1.37E+18,"RT @bayareachick1: *Whispers*
White people don’t like seeing racism on their timeline yall 😌"
Glad to see you convert 😌 he is such a well written character I love him sm,Sun Mar 21 18:33:57 +0000 2021,,1.37E+18,@rivaiseruvin Glad to see you convert 😌 he is such a well written character I love him sm
Lol you know nothing about my life but thanks for your input that was not necessary. Life must be so grand for you being a bitch for no reason 😌,Sun Mar 21 18:33:58 +0000 2021,@VictoriaJoss Lol you know nothing about my life but thanks for your input that wasn’t necessary. Life must be so grand for you being a bitch for no reason 😌,1.37E+18,@VictoriaJoss Lol you know nothing about my life but thanks for your input that wasn’t necessary. Life must be so g… https://t.co/vhOPAs8k1M
Went on campus again because it is just so pretty and it is 70F outside 😌 #Namjooning ,Sun Mar 21 18:33:58 +0000 2021,,1.37E+18,Went on campus again cause it's just so pretty and it's 70F outside 😌 #Namjooning https://t.co/GtX44GheHA
"it is true, we should get royalties 😌",Sun Mar 21 18:33:59 +0000 2021,,1.37E+18,"@ItsMoirrey @stigsgamingtv It's true, we should get royalties 😌"
honest and funny one 😌,Sun Mar 21 18:33:59 +0000 2021,,1.37E+18,@cluessshoe honest and funny one 😌
Neyse :),Sun Mar 21 18:33:59 +0000 2021,,1.37E+18,Neyse :)
I am both 😌,Sun Mar 21 18:34:00 +0000 2021,,1.37E+18,i'm both 😌
"I love how monsta x are not just the blueprint for 4th gen bgs, minhyuk is the one who started the trend of female idols…",Sun Mar 21 18:34:00 +0000 2021,,1.37E+18,"RT @kihyunonIyfans: I love how monsta x aren't just the blueprint for 4th gen bgs, minhyuk is the one who started the trend of female idols…"
Genderless thoughts 😌,Sun Mar 21 18:34:01 +0000 2021,,1.37E+18,Genderless thoughts 😌
Megumi is no longer baby 😌 he snapped #jjk,Sun Mar 21 18:34:01 +0000 2021,,1.37E+18,Megumi is no longer baby 😌 he snapped #jjk
Goo afternoon 😌 ,Sun Mar 21 18:34:02 +0000 2021,,1.37E+18,@tiny_gobby Goo afternoon 😌 https://t.co/zoag8g4yBF
Eating sloppy joes and watching Kung Pow 😏. Enjoy you are Sunday everybody 😌,Sun Mar 21 18:34:02 +0000 2021,,1.37E+18,Eating sloppy joes and watching Kung Pow 😏. Enjoy you're Sunday everybody 😌
So good 😌,Sun Mar 21 18:34:03 +0000 2021,,1.37E+18,@ArabBae_ So good 😌
"Yaw Tog has 442k monthly listeners whiles Sarkodie has 271k monthly listeners on Spotify. I am not doing any comparison ooo, I’…",Sun Mar 21 18:34:04 +0000 2021,,1.37E+18,"RT @Founda_: Yaw Tog has 442k monthly listeners whiles Sarkodie has 271k monthly listeners on Spotify. I’m not doing any comparison ooo, I’…"
i will not be participating in wearing shorts this summer 😌,Sun Mar 21 18:34:05 +0000 2021,,1.37E+18,RT @barbiebrookeecc: i will not be participating in wearing shorts this summer 😌
Bon appetite my lady 😌,Sun Mar 21 18:34:05 +0000 2021,,1.37E+18,@dailycupoftea_ Bon appetite my lady 😌
"loml i want to marry her my fav person on this god forsaken bird app ,, FUNNY AS HELL, hot as hell, nice as hell and constantly matches my thirsty energy for pete 😌",Sun Mar 21 18:34:05 +0000 2021,"loml i want to marry her my fav person on this god forsaken bird app ,, FUNNY AS HELL, hot as hell, nice as hell and constantly matches my thirsty energy for pete 😌",1.37E+18,"loml i want to marry her my fav person on this god forsaken bird app ,, FUNNY AS HELL, hot as hell, nice as hell an… https://t.co/E1HcbsihSB"
Thank you thank you 😌,Sun Mar 21 18:34:06 +0000 2021,,1.37E+18,@jherricurlnigga Thank u thank u 😌
"' it is my first time "" 😌 It just started 🌟  RrahulSudhir Slaying At ITA",Sun Mar 21 18:34:06 +0000 2021,,1.37E+18,"RT @riansh_mine: ' It's my first time ""
😌 It just started 🌟

RrahulSudhir Slaying At ITA"
can i come back to an oscar follow??? 😌,Sun Mar 21 18:34:06 +0000 2021,,1.37E+18,@oscar_guerra21 can i come back to an oscar follow??? 😌
Thanks for the 300 😌 ,Sun Mar 21 18:34:07 +0000 2021,,1.37E+18,Thanks for the 300 😌 https://t.co/z5SwEtVgda
besides it is one of frank's best looks in my silly little list 😌,Sun Mar 21 18:34:07 +0000 2021,,1.37E+18,@ChieanaStrider besides it's one of frank's best looks in my silly little list 😌
it is the eyes for me 😌 ,Sun Mar 21 18:34:08 +0000 2021,,1.37E+18,RT @Oppe_mipo: It’s the eyes for me 😌 https://t.co/fhOVaPjVde
So happy asos has finally started doing reviews 😌,Sun Mar 21 18:34:09 +0000 2021,,1.37E+18,So happy asos has finally started doing reviews 😌
"Oh, and #RelistXRP. 😌",Sun Mar 21 18:34:09 +0000 2021,,1.37E+18,"@Fame21Moore Oh, and #RelistXRP. 😌"
it is giving 😌,Sun Mar 21 18:34:10 +0000 2021,,1.37E+18,It’s giving 😌
Nice dp 😌,Sun Mar 21 18:34:10 +0000 2021,,1.37E+18,RT @gamthii: @MiNaL_MR_143 Nice dp 😌
can not sleep 😌,Sun Mar 21 18:34:10 +0000 2021,,1.37E+18,can't sleep 😌
no pooh shiesty but BIG BLER 😌,Sun Mar 21 18:34:11 +0000 2021,,1.37E+18,no pooh shiesty but BIG BLER 😌
// night circus spoilers   “I was hoping I could trouble you for that drink we did not have in Prague”  nice one marco 😌,Sun Mar 21 18:34:11 +0000 2021,,1.37E+18,"// night circus spoilers 

“I was hoping I could trouble you for that drink we did not have in Prague”

nice one marco 😌"
My favorite 😌,Sun Mar 21 18:34:12 +0000 2021,,1.37E+18,@DaniRaeRami3 My favorite 😌
My baby being born knowing her father is not Bang Yedam 😌   ,Sun Mar 21 18:34:12 +0000 2021,,1.37E+18,RT @treasuremytrea1: My baby being born knowing her father isn't Bang Yedam 😌  @treasuremembers https://t.co/GJA3MTxGJK
most of the rest are already liked 😌,Sun Mar 21 18:34:13 +0000 2021,,1.37E+18,@sewersidal1 most of the rest are already liked 😌
The best kind of trouble 😌 ,Sun Mar 21 18:34:14 +0000 2021,,1.37E+18,RT @DaniAshleyOF: The best kind of trouble 😌 https://t.co/BjA4CnGtoI
Nothing like a good haircut to make you feel better 😌 ,Sun Mar 21 18:34:14 +0000 2021,,1.37E+18,RT @thekevinfluence: Nothing like a good haircut to make you feel better 😌 https://t.co/5xgpzBmO7n
On god I will beat a hoe black and blue bout my Benz 😌,Sun Mar 21 18:34:14 +0000 2021,,1.37E+18,On god I’ll beat a hoe black and blue bout my Benz 😌
aww thank you so much 😌,Sun Mar 21 18:34:15 +0000 2021,,1.37E+18,@TherealjinhitxE aww thank you so much 😌
"Skdjkwd we are the least scary people I can assure you that, I feel more scared of small accounts than anything else. Crying on this app is my passion 😌",Sun Mar 21 18:34:16 +0000 2021,"@yoosoulmates Skdjkwd we're the least scary people I can assure you that, I feel more scared of small accounts than anything else. Crying on this app is my passion 😌",1.37E+18,"@yoosoulmates Skdjkwd we're the least scary people I can assure you that, I feel more scared of small accounts than… https://t.co/pizum8u9Cx"
"Come and buy veil, shampoo and hair cream. 😌 Veils come in all sizes and colors. Shampoo - 500 Hair cream - 300 Veils - 8…",Sun Mar 21 18:34:16 +0000 2021,,1.37E+18,"RT @maryamapanda: Come and buy veil, shampoo and hair cream. 😌 Veils come in all sizes and colors.
Shampoo - 500
Hair cream - 300
Veils - 8…"
ty ty 😌,Sun Mar 21 18:34:17 +0000 2021,,1.37E+18,@ceillua ty ty 😌
Idk today is just a nice day 😌 ,Sun Mar 21 18:34:20 +0000 2021,,1.37E+18,Idk today is just a nice day 😌 https://t.co/MAlWhYarMU
timeline cleanser 😌 ,Sun Mar 21 18:34:20 +0000 2021,,1.37E+18,RT @WashingtonNFL: timeline cleanser 😌 https://t.co/2wHD5I0iIw
JUSTICE album has reached 111 #1’s on apple music yayyy! legend behavior if you ask me 😌,Sun Mar 21 18:34:21 +0000 2021,,1.37E+18,RT @scottrauhls: JUSTICE album has reached 111 #1’s on apple music yayyy! legend behavior if u ask me 😌
it is fine 😌 for now 😈,Sun Mar 21 18:34:23 +0000 2021,,1.37E+18,@becomingusagi it's fine 😌 for now 😈
"🍋🍊🍑 👁👄👁 can I ,,, maybe ,,, get 1000 likes? that would be nice 😌 I will post my butt if it happens ",Sun Mar 21 18:34:23 +0000 2021,,1.37E+18,"RT @heyashleytea: 🍋🍊🍑 👁👄👁 can I ,,, maybe ,,, get 1000 likes? that would be nice 😌 I’ll post my butt if it happens https://t.co/BmLpyNzG6O"
Have you ever found ur self praying saying ya Allah Dan Allah 😌,Sun Mar 21 18:34:24 +0000 2021,,1.37E+18,RT @QDeedat: Have you ever found ur self praying saying ya Allah Dan Allah 😌
I am waiting 😌,Sun Mar 21 18:34:24 +0000 2021,,1.37E+18,@imffii2 i’m waiting 😌
Quavo took his Bentley back. Lord future is proud 😌 ,Sun Mar 21 18:34:24 +0000 2021,,1.37E+18,RT @unclebayotics: Quavo took his Bentley back. Lord future is proud 😌 https://t.co/PpvkauuUFC
it is one of those days 😌,Sun Mar 21 18:34:25 +0000 2021,,1.37E+18,It’s one of those days 😌
Okay 😌,Sun Mar 21 18:34:25 +0000 2021,,1.37E+18,@wtf_manik Okay 😌
i just... 😌,Sun Mar 21 18:34:25 +0000 2021,,1.37E+18,i just... 😌
"Remember when  was tweeting about whether ""Kung flu"" was a racist term, and he and other whites decided it was n…",Sun Mar 21 18:34:25 +0000 2021,,1.37E+18,"RT @NoTotally: Remember when @chrislhayes was tweeting about whether ""Kung flu"" was a racist term, and he and other whites decided it was n…"
"This exactly what   meant when he said ""because we jump on anything new and discredit the few who have been holding…",Sun Mar 21 18:34:26 +0000 2021,,1.37E+18,"RT @Hamz_a__: This exactly what @KWESIARTHUR_  meant when he said ""Cause we jump on anything new and discredit the few who've been holding…"
I have delivered McDonalds to the same hot dude like three times this month so yeah I guess you could say it is getting serious 😌,Sun Mar 21 18:34:26 +0000 2021,,1.37E+18,I’ve delivered McDonalds to the same hot dude like three times this month so yeah I guess you could say it’s getting serious 😌
"johnny said ""I am the view "" 😌 ",Sun Mar 21 18:34:30 +0000 2021,,1.37E+18,"RT @JohnnysCompany: johnny said ""i'm the view "" 😌 https://t.co/t2MikQOHTn"
AKSKDKSK i would have absolutely accepted it anyway madam 😌,Sun Mar 21 18:34:30 +0000 2021,,1.37E+18,@benemlmns @ULTRAGLOSS AKSKDKSK i would have absolutely accepted it anyway ma'am 😌
Yep I do 😌,Sun Mar 21 18:34:30 +0000 2021,,1.37E+18,@halosourdiesel Yep I do 😌
"Used a butt mask tonight, you should feel how soft my ass is now 😌 ",Sun Mar 21 18:34:31 +0000 2021,,1.37E+18,"RT @burgboy28: Used a butt mask tonight, you should feel how soft my ass is now 😌 https://t.co/axuTWsRMIO"
Agreed 😌,Sun Mar 21 18:34:32 +0000 2021,,1.37E+18,@QuirkyJERK @Chris_Benjiii Agreed 😌
