clean,created_at,extended_tweet.full_text,id,text
#RANDONAUTICA IS CREEPY - CHASED IN THE WOODS BY CRAZY PEOPLE  via   If you some some serious #anxiety you got to watch this video holy shit my heart is still racing lol 😆 it is like I was right there running with you guys ☠️,Sun Mar 21 19:27:04 +0000 2021,#RANDONAUTICA IS CREEPY - CHASED IN THE WOODS BY CRAZY PEOPLE https://t.co/nFEiFfHnqS via @OfficialJaskoYT @cBaird254 If you some some serious #anxiety you gotta watch this video holy shit my heart is still racing lol 😆 it’s like I was right there running with you guys ☠️,1373717817808228352,#RANDONAUTICA IS CREEPY - CHASED IN THE WOODS BY CRAZY PEOPLE https://t.co/nFEiFfHnqS via @OfficialJaskoYT… https://t.co/kdhGum6Lbh
Go wash your a$$hole with water first,Sun Mar 21 19:27:07 +0000 2021,,1373717829791322112,Go wash your a$$hole with water first
"#Brainscience is essential to understanding how we can better help people with  #depression, #anxiety and #schizophrenia.   Fo…",Sun Mar 21 19:27:08 +0000 2021,,1373717833490833410,"RT @GamianE: #Brainscience is essential to understanding how we can better help people with  #depression, #anxiety and #schizophrenia. 

Fo…"
OH SNBSHSJS I WAS LIKE damn what happened 😨,Sun Mar 21 19:27:12 +0000 2021,,1373717850486145027,@sohnmooner OH SNBSHSJS I WAS LIKE damn what happened 😨
Ok now Loki is betraying them this plot is wild why does he want to kill his family so bad? So what if he is an adopted gianty thing 😨 and a trickster??? Am I missing something bigger? Is it bc Oden took him? Is it because he envy’s Thor’s golden hair?,Sun Mar 21 19:27:38 +0000 2021,Ok now Loki is betraying them this plot is wild why does he wanna kill his family so bad? So what if he’s an adopted gianty thing 😨 and a trickster??? Am I missing something bigger? Is it bc Oden took him? Is it because he envy’s Thor’s golden hair?,1373717958669660162,Ok now Loki is betraying them this plot is wild why does he wanna kill his family so bad? So what if he’s an adopte… https://t.co/hxvmekj0K1
Want to bust stress in the best way? Science says gentle exercise in fresh air — like a walk outside — really works for…,Sun Mar 21 19:27:46 +0000 2021,,1373717990773043200,RT @RachelintheOC: Want to bust stress in the best way? Science says gentle exercise in fresh air — like a walk outside — really works for…
😨 🎃 😰. 👻 what is that!. 🍬.,Sun Mar 21 19:27:50 +0000 2021,,1373718007499923460,"😨 🎃 😰. 👻 What's that!. 🍬."
as someone who is black themselves AND likes schlatt what is this 😨 ,Sun Mar 21 19:27:50 +0000 2021,,1373718010754662400,as someone who is black themselves AND likes schlatt what is this 😨 https://t.co/oRq1evw4FQ
"You have 2 braincells, hence proved.  ""Human"" yeah..",Sun Mar 21 19:28:08 +0000 2021,,1373718086503784448,"You have 2 braincells, hence proved. 
""Human"" yeah.."
huge 😨 ,Sun Mar 21 19:28:22 +0000 2021,,1373718142472626176,RT @Erikkiing: huge 😨 https://t.co/oMLbM1EDlJ
No way 😯😯 I also thought that carrots were orange 😨,Sun Mar 21 19:28:26 +0000 2021,,1373718160164196353,@BoaBaoBao @paveltiddies No way 😯😯 I also thought that carrots were orange 😨
Ngl I am happy for this guy 💪🏾✊🏾,Sun Mar 21 19:28:48 +0000 2021,,1373718254296907780,Ngl im happy for this guy 💪🏾✊🏾
#Fear is a darkroom where negatives develop.,Sun Mar 21 19:29:36 +0000 2021,,1373718455128559623,#Fear is a darkroom where negatives develop.
run away 😨,Sun Mar 21 19:29:42 +0000 2021,,1373718478046248962,@hellishlnferno run away 😨
wait omg i forgot we sprung forward .. that means aot comes out at 4:45 now i think 😨,Sun Mar 21 19:29:57 +0000 2021,,1373718542730792966,wait omg i forgot we sprung forward .. that means aot comes out at 4:45 now i think 😨
Strange beaches that have been voted very dangerous in the world 😱 😨,Sun Mar 21 19:30:09 +0000 2021,,1373718590608785416,RT @noteableyfood: Strange beaches that have been voted very dangerous in the world 😱 😨
Is it safe to exercise for high blood pressure?  #tagfire #health #lifestyle #healthcare #life #diabetes #walking #weightloss #Yoga #love #stress #anxiety #HealthForAll #LOL #food #BP #hypertension #exercise ##retweet  ,Sun Mar 21 19:30:40 +0000 2021,"Is it safe to exercise for high blood pressure?
https://t.co/xA283cKgsS #tagfire #health #lifestyle #healthcare #life #diabetes #walking #weightloss #Yoga #love #stress #anxiety #HealthForAll #LOL #food #BP #hypertension #exercise #RT #retweet https://t.co/TmEnf4l9Xm https://t.co/RsAr1yv9P0",1373718721680834560,"Is it safe to exercise for high blood pressure?
https://t.co/xA283cKgsS #tagfire #health #lifestyle #healthcare… https://t.co/lGr8zG5SS1"
15- Food Good for High Blood Pressure Patients | DASH Diet  #tagfire #lifestyle #health #life #LOL #healthy #Yoga #food #diabetes #weightloss #diet ##stress #anxiety #walking  #workout #nutrition #fitness #follow #fun #hot #funny #healthyfit07 ,Sun Mar 21 19:30:42 +0000 2021,"15- Food Good for High Blood Pressure Patients | DASH Diet
https://t.co/2GT5C3NB0z #tagfire #lifestyle #health #life #LOL #healthy #Yoga #food #diabetes #weightloss #diet #RT #stress #anxiety #walking  #workout #nutrition #fitness #follow #fun #hot #funny #healthyfit07 https://t.co/kv1PsUWsKE",1373718730207805449,"15- Food Good for High Blood Pressure Patients | DASH Diet
https://t.co/2GT5C3NB0z #tagfire #lifestyle #health… https://t.co/ZxPV53PKLL"
Oh God 😳 😨 you got this love 🤞,Sun Mar 21 19:30:52 +0000 2021,,1373718773950263300,@p__andcream Oh God 😳 😨 you got this luv 🤞
Pav what? my braincells just scattered for some reason. 😨,Sun Mar 21 19:31:04 +0000 2021,,1373718822071410688,@PavkoD2k20 Pav what? my braincells just scattered for some reason. 😨
"Revolutionary New Method Heals #Trauma With #Hypnosis. Get a Free Private Consultation and Experience a Non-Judgemental, #Hypnotherapist Listening to You. Schedule a session now because a better life is waiting for you.  #depression #anxiety #mindfulness",Sun Mar 21 19:31:05 +0000 2021,"Revolutionary New Method Heals #Trauma With #Hypnosis. Get a Free Private Consultation and Experience a Non-Judgemental, #Hypnotherapist Listening to You. Schedule a session now because a better life is waiting for you. https://t.co/KbtsIRNS72 #depression #anxiety #mindfulness",1373718828253777920,Revolutionary New Method Heals #Trauma With #Hypnosis. Get a Free Private Consultation and Experience a Non-Judgeme… https://t.co/7Fg2StK9bg
did you not screen record this? 😨,Sun Mar 21 19:31:21 +0000 2021,,1373718893269716992,@morimoon_art did you not screen record this? 😨
Vanya was in x men days of future past 😨,Sun Mar 21 19:32:02 +0000 2021,,1373719065894748163,Vanya was in x men days of future past 😨
hello i got awoken by a really bad dream and it is so weird bc it was also this time inside it (3:30 am) 😨,Sun Mar 21 19:32:11 +0000 2021,,1373719104306114563,hello i got awoken by a really bad dream and it’s so weird bc it was also this time inside it (3:30 am) 😨
taylor being loved by the remaining living members of the beatles 😨,Sun Mar 21 19:32:51 +0000 2021,,1373719272216756228,RT @billythekidw: taylor being loved by the remaining living members of the beatles 😨
"scary little green men, it is the end 😨",Sun Mar 21 19:33:13 +0000 2021,,1373719365892341760,"scary little green men, it’s the end 😨"
"Raised voices, slamming doors, aggressive behaviour...   All kinds of experiences can create a conditioned response that leaves us feeling alert and unsettled.   What is going on when we experience this?  #Triggers #PanicAttack #MentalHealth #Wellbeing #Anxiety #Counselling ",Sun Mar 21 19:34:16 +0000 2021,"Raised voices, slamming doors, aggressive behaviour... 

All kinds of experiences can create a conditioned response that leaves us feeling alert and unsettled. 

What is going on when we experience this?

#Triggers #PanicAttack #MentalHealth #Wellbeing #Anxiety #Counselling https://t.co/gUcrfMDd9R",1373719627428159499,"Raised voices, slamming doors, aggressive behaviour... 

All kinds of experiences can create a conditioned response… https://t.co/pwEHp59gmX"
Haha no worries 😜 you can do it but bxbdb it is SOO early 😨,Sun Mar 21 19:34:44 +0000 2021,,1373719746030538756,"@p__andcream Haha no worries 😜 you can do it but bxbdb it's SOO early 😨"
“We can not be brave without fear.” - #MuhammadAli  #BlackHistoryMonth #BHM #Brave #Fear #Freedom #Equality ,Sun Mar 21 19:34:56 +0000 2021,,1373719795196170243,"RT @MuhammadAli: “We can't be brave without fear.” - #MuhammadAli

#BlackHistoryMonth #BHM #Brave #Fear #Freedom #Equality https://t.co/4FN…"
"Tune in this week for our live-streamed meditation classes, everyday Monday - Thursday!  Book here ➡️   Join us anytime, no experience necessary 😊  #meditation  #mentalhealthawareness  #anxiety  #buddhism  #buddha ",Sun Mar 21 19:35:04 +0000 2021,"Tune in this week for our live-streamed meditation classes, everyday Monday - Thursday!

Book here ➡️ https://t.co/ET12MP8rkc

Join us anytime, no experience necessary 😊

#meditation 
#mentalhealthawareness 
#anxiety 
#buddhism 
#buddha https://t.co/sqzTF882cd",1373719830554157056,"Tune in this week for our live-streamed meditation classes, everyday Monday - Thursday!

Book here ➡️… https://t.co/ppnbV3pZSw"
"#depression #anxiety Join our community to post on timeline, join groups, discuss issues important to you, get daily n…",Sun Mar 21 19:35:08 +0000 2021,,1373719846102392834,"RT @depression_yrna: #depression #anxiety Join our community to post on timeline, join groups, discuss issues important to you, get daily n…"
De only thing to #fear is what you will end up as if you do not change now ,Sun Mar 21 19:35:13 +0000 2021,,1373719865580658690,"De only thing to #fear is what you will end up as if you don't change now https://t.co/bozjrhMzlF"
How to practice mindfulness when you are anxious  #Meditation #Mindfulness #Anxiety #Wellbeing,Sun Mar 21 19:35:26 +0000 2021,,1373719922459742213,"RT @meditoHQ: How to practice mindfulness when you’re anxious
https://t.co/opRDeAmfOv
#Meditation #Mindfulness #Anxiety #Wellbeing"
Schedule an Online Session!  #mentalhealth #teleheath #onlinecounseling #ChristianCounseling #anxiety #depression #grief #relationships #positivethinking #individualcounseling #parenting #womensissues  ,Sun Mar 21 19:35:56 +0000 2021,"Schedule an Online Session!

#mentalhealth #teleheath #onlinecounseling #ChristianCounseling #anxiety #depression #grief
#relationships #positivethinking #individualcounseling #parenting #womensissues
https://t.co/3Y9McBBHhc https://t.co/ufQl90nSjm",1373720045914836993,"Schedule an Online Session!

#mentalhealth #teleheath #onlinecounseling #ChristianCounseling #anxiety #depression… https://t.co/UI8g9VGzIF"
same 😨,Sun Mar 21 19:36:03 +0000 2021,,1373720076495380483,@EolixaZ same 😨
