clean,created_at,extended_tweet.full_text,id,text
🌼 another art giveaway ! 🌼  thank you so much for your support everyone and all kind comments !! 🥺💖  this time is an Icon Ch…,Sun Mar 21 18:12:19 +0000 2021,,1373699005998264321,"RT @deerhalia: 🌼 another art giveaway ! 🌼

thank you so much for your support everyone and all kind comments !! 🥺💖

this time is an Icon Ch…"
Thank You So much 🤗,Sun Mar 21 18:12:20 +0000 2021,,1373699008456056833,@Brownsk12 Thank You So much 🤗
Saved this half in the fridge overnight. Waiting to work up a proper appetite so I can finish her off. Oh yeah guys I’…,Sun Mar 21 18:12:21 +0000 2021,,1373699013296459776,RT @normalguycaruso: Saved this half in the fridge overnight. Waiting to work up a proper appetite so I can finish her off. Oh yeah guys I’…
Soft and Squishy 😍🥰  let us cuddle 🤗 ,Sun Mar 21 18:12:23 +0000 2021,,1373699020066000899,"RT @PhoenixxMay511: Soft and Squishy 😍🥰

Let’s cuddle 🤗 https://t.co/B5gzc2mr9A"
today is where I was born into this world 😊The day I cried for the first time 😊 the day I hugged my parents for the first time👨‍👩‍👧 I am a girl who always tries to be happy 😊 and today is so special for me because of that I will be happy 🤗 Happy birthday to me🎂 #방탄소년단 ,Sun Mar 21 18:12:24 +0000 2021,"today is where I was born into this world 😊The day I cried for the first time 😊
the day I hugged my parents for the first time👨‍👩‍👧
I am a girl who always tries to be happy 😊 and today is so special for me because of that I will be happy 🤗 Happy birthday to me🎂
#방탄소년단 https://t.co/EapdNnQtma",1373699026198011904,"today is where I was born into this world 😊The day I cried for the first time 😊
the day I hugged my parents for the… https://t.co/jAFC6fSBMB"
Follow 👉   Follow Back For Sure 👍  Pls Support Her 🤗 #SarkaruVaariPaata  ,Sun Mar 21 18:12:25 +0000 2021,,1373699031348699139,"RT @PJAYANTH1: Follow 👉@MBBigLover 

Follow Back For Sure 👍

Pls Support Her 🤗
#SarkaruVaariPaata @urstrulyMahesh https://t.co/NBP0KBCbkA"
"Had a relaxing morning with my good boys. Now, I am ready to collect what is mine. fears, secrets, tears, souls, money, ha…",Sun Mar 21 18:12:26 +0000 2021,,1373699033835929600,"RT @xmistressredx: Had a relaxing morning with my good boys. Now, I’m ready to collect what’s mine. fears, secrets, tears, souls, money, ha…"
Thank you love 🤗,Sun Mar 21 18:12:27 +0000 2021,,1373699036440584194,@NyeteP Thank you love 🤗
"You make me feel soo MMMH, MMMH I said, isaid! ❤️  RT, TWEET, REPLY EXOL juseyo 🤗  #KAI  #카이 #StanWorld ",Sun Mar 21 18:12:28 +0000 2021,,1373699042924851200,"RT @EVSS1485: You make me feel soo MMMH, MMMH
I said, isaid! ❤️

RT, TWEET, REPLY EXOL juseyo 🤗

#KAI  #카이 #StanWorld @weareoneEXO"
"All signs I have dated showed me dust mna 😂. They are all the same, arg",Sun Mar 21 18:12:29 +0000 2021,,1373699046058160131,"All signs I’ve dated showed me dust mna 😂. They are all the same, arg"
"My oldest and dearest forever. (May i add strongest lass i know)Thanks for always being there and never judging my random 'moments' of varying emotions 🤗 x ❤  ",Sun Mar 21 18:12:29 +0000 2021,"My oldest and dearest forever. (May i add strongest lass i know)Thanks for always being there and never judging my random 'moments' of varying emotions 🤗 xxxx ❤ @gemma1104 https://t.co/J8n8pRktRg",1373699046435655683,My oldest and dearest forever. (May i add strongest lass i know)Thanks for always being there and never judging my… https://t.co/gVtbL7F3Pf
Microdermabrasion Treatment with hydro jelly mask for this Gentleman 🤗  #mensskincare #microdermabrasionfacial #hydrojellymask #exfoliation #oilyskin #combinationskin @ Lavished Beauty Esthetics LLC ,Sun Mar 21 18:12:29 +0000 2021,"Microdermabrasion Treatment with hydro jelly mask for this Gentleman 🤗

#mensskincare #microdermabrasionfacial #hydrojellymask #exfoliation #oilyskin #combinationskin @ Lavished Beauty Esthetics LLC https://t.co/UYFqoNn5FW",1373699048339816451,"Microdermabrasion Treatment with hydro jelly mask for this Gentleman 🤗

#mensskincare #microdermabrasionfacial… https://t.co/35khdx1ujc"
But I am ok though. I totally do not mind any of these as long as they are happy. they are men anyway i have zero expectation 🤗,Sun Mar 21 18:12:31 +0000 2021,,1373699053372936193,But I’m ok though. I totally don’t mind any of these as long as they’re happy. They’re men anyway i have zero expectation 🤗
Baby I are not the old me 🤗 ,Sun Mar 21 18:12:31 +0000 2021,,1373699053549191174,RT @AsianDaBrattt: Baby I ain’t the old me 🤗 https://t.co/QSOGL1BkkR
#MONBEBE we can do it 💪 drop some ❤️❤️❤️ on daily chart idolchamp for #MONSTA_X We still have time to reach 500 till the end…,Sun Mar 21 18:12:32 +0000 2021,,1373699059429511170,"RT @Marfisita: #MONBEBE we can do it 💪 drop some ❤️❤️❤️ on daily chart idolchamp for #MONSTA_X
We still have time to reach 500 till the end…"
"So, we waited 7 weeks for breakdown, Did not happen 🤗  Waited 7 weeks for Deniz to get punished, Did not happen 🤗  Waited…",Sun Mar 21 18:12:37 +0000 2021,,1373699080216571914,"RT @sarah012012: So, we waited 7 weeks for breakdown,
Did not happen 🤗

Waited 7 weeks for Deniz to get punished,
Did not happen 🤗

Waited…"
Today is #InternationalDayofHappiness 🤗  Tell us what is making YOU happy right now for the chance to WIN a £50 LF Vouche…,Sun Mar 21 18:12:43 +0000 2021,,1373699107135586307,"RT @lookfantastic: Today is #InternationalDayofHappiness 🤗

Tell us what's making YOU happy right now for the chance to WIN a £50 LF Vouche…"
Thanks 🤗,Sun Mar 21 18:12:45 +0000 2021,,1373699113775214595,@moe_london Thanks 🤗
Need a hug 🤗 ,Sun Mar 21 18:12:48 +0000 2021,,1373699125498277888,@gmurf11 Need a hug 🤗 https://t.co/6VtzCqQCML
"Need 9 Follower's ❤️  Support D fans 🤗 #Karnan ",Sun Mar 21 18:12:48 +0000 2021,,1373699127935045632,"RT @Freakout_Boy_18: Need 9 Follower's ❤️ @Freakout_Boy_18 Support D fans 🤗
#Karnan https://t.co/llhmNVqB6u"
"Hey Johnny, wishing you a wonderful day! 🌞 Happy Sunday 🤗",Sun Mar 21 18:12:48 +0000 2021,,1373699128262324225,"RT @lauramoppie: @CorOfTheSUN Hey Johnny, wishing you a wonderful day! 🌞 Happy Sunday 🤗"
"Carotenemia and carotenoderma is in itself harmless, and does not require treatment. In primary carotenoderma, when the use of high quantities of carotene is discontinued the skin color will return to normal. T 🤗",Sun Mar 21 18:12:52 +0000 2021,"@PatriciaSomer11 Carotenemia and carotenoderma is in itself harmless, and does not require treatment. In primary carotenoderma, when the use of high quantities of carotene is discontinued the skin color will return to normal. T 🤗",1373699143038869505,"@PatriciaSomer11 Carotenemia and carotenoderma is in itself harmless, and does not require treatment. In primary ca… https://t.co/a2ToMAdG8q"
Korean age: I am 9 months younger International age: I am 3 months older.,Sun Mar 21 18:12:54 +0000 2021,,1373699150685081600,"Korean age: i’m 9 months younger
International age: i’m 3 months older."
"my affirmations are manifesting rapidly, I love it here 🤗",Sun Mar 21 18:12:54 +0000 2021,,1373699151129505792,"my affirmations are manifesting rapidly, I love it here 🤗"
I love when cool things happen for friends 🤗,Sun Mar 21 18:12:56 +0000 2021,,1373699160944222211,RT @avishaiw: I love when cool things happen for friends 🤗
I pray it goes quickly and you get to go home and relax. I pray God shows you His Light today and brings you His Word. Blessings brother 🤗,Sun Mar 21 18:12:57 +0000 2021,@DavidTSummers3 I pray it goes quickly and you get to go home and relax. I pray God shows you His Light today and brings you His Word. Blessings brother 🤗,1373699164169764872,@DavidTSummers3 I pray it goes quickly and you get to go home and relax. I pray God shows you His Light today and b… https://t.co/B4qlZAbFUD
